Energy keV,sbspec - 0 - Counts,Energy keV,sbspec - 1 - Counts,Energy keV,sbspec - 2 - Counts,Energy keV,sbspec sum - Counts
,,28.553293236265404,120748.60027066637,,,11.618798955613578,68549.10909962602
,,28.942744009231276,168143.2509633815,,,12.019147084421238,63724.733046671856
,,29.332194782197142,299253.13022675406,,,12.419495213228895,48289.007503258246
,,29.721645555163008,641842.0881317417,,,12.819843342036556,35663.87619973457
,,30.111096328128873,1244405.3279853705,,,13.220191470844213,27573.01080893747
,,30.500547101094746,1681090.95129779,,,13.620539599651874,23455.645454494563
,,30.88999787406061,1390742.864347743,,,14.020887728459531,21713.120160176284
,,31.279448647026477,659052.9416950714,,,14.421235857267192,21146.341716655443
,,31.668899419992343,187063.92736932365,,,14.821583986074849,20830.177900474402
,,32.058350192958216,52729.18892296862,,,15.22193211488251,20707.106373909668
,,32.44780096592408,34951.347655149744,,,15.622280243690167,20448.5916958367
,,32.83725173888995,38503.75362688361,,,16.022628372497824,20335.9089704108
